City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
souillac,-20.52,57.52,295.15,83,20,2.6,MU,1592954916
dabou,5.33,-4.38,298.15,94,40,1.0,CI,1592955039
colon,9.36,-79.9,298.15,88,100,2.24,PA,1592955039
shirokiy,49.76,129.52,284.17,97,100,7.57,RU,1592955039
port lincoln,-34.73,135.87,282.94,74,0,3.05,AU,1592954906
beringovskiy,63.05,179.32,276.93,79,57,2.39,RU,1592954939
sidhi,24.42,81.88,300.29,81,31,4.03,IN,1592955040
ust-nera,64.57,143.2,298.69,34,3,0.53,RU,1592955040
lingao,19.91,109.69,302.81,68,100,2.52,CN,1592955040
chokwe,-24.53,32.98,288.01,92,0,0.74,MZ,1592955040
rock sound,24.9,-76.2,301.3,80,64,3.51,BS,1592955040
becerril,9.7,-73.28,300.39,59,31,2.89,CO,1592955041
dalbandin,28.89,64.41,300.66,52,10,1.34,PK,1592955041
vila franca do campo,37.72,-25.43,290.15,88,40,8.7,PT,1592955041
inuvik,68.35,-133.72,279.15,87,90,4.6,CA,1592955041
vrangel,42.73,133.08,288.87,82,100,5.31,RU,1592955041
ixtapa,20.7,-105.2,304.15,70,20,7.2,MX,1592955041
hovd,48.01,91.64,289.49,30,11,0.57,MN,1592955042
bardiyah,31.76,25.09,293.62,84,0,2.19,LY,1592955042
nemuro,43.32,145.57,283.85,94,100,5.4,JP,1592954891
redmond,47.67,-122.12,300.93,55,95,4.18,US,1592954901
nauta,-4.51,-73.58,296.49,97,98,0.66,PE,1592955042
kingaroy,-26.53,151.83,285.93,71,0,0.5,AU,1592955042
tucumcari,35.17,-103.72,305.15,27,75,7.2,US,1592955042
benito juarez,19.39,-99.17,295.15,40,75,3.1,MX,1592954769
george,-33.96,22.46,282.15,100,20,1.5,ZA,1592954908
vallenar,-28.57,-70.76,289.14,67,100,1.8,CL,1592954930
tazovskiy,67.47,78.7,281.75,84,84,4.31,RU,1592955043
springbok,-29.66,17.89,285.38,38,0,2.76,ZA,1592955043
longview,32.5,-94.74,301.15,69,75,4.6,US,1592955043
port hedland,-20.32,118.57,288.15,62,0,3.1,AU,1592954903
virginia beach,36.85,-75.98,302.04,69,75,8.2,US,1592955016
foam lake,51.65,-103.53,295.81,54,97,2.47,CA,1592955043
xingcheng,40.62,120.72,293.66,79,95,3.0,CN,1592955044
tatvan,38.51,42.28,286.92,38,0,1.05,TR,1592955044
chicama,-7.84,-79.15,290.66,81,50,3.04,PE,1592955044
cairns,-16.92,145.77,295.37,64,90,5.1,AU,1592954842
lulea,65.58,22.15,289.15,93,58,1.68,SE,1592955044
katesh,-4.52,35.38,285.97,99,27,1.85,TZ,1592955044
danville,36.59,-79.39,300.37,65,40,3.6,US,1592954824
asau,46.43,26.4,287.59,95,34,1.32,RO,1592954907
nombre de jesus,15.35,-86.68,298.15,83,75,4.6,HN,1592955045
carnarvon,-24.87,113.63,285.15,93,0,3.1,AU,1592954909
eyl,7.98,49.82,300.63,68,0,10.07,SO,1592954907
muros,42.78,-9.06,290.93,87,5,2.68,ES,1592955045
tukrah,32.53,20.58,293.48,79,0,1.5,LY,1592955045
flin flon,54.77,-101.86,300.15,28,40,3.6,CA,1592955045
okhotsk,59.38,143.3,283.27,78,91,3.2,RU,1592955045
marathon,44.9,-89.77,293.15,52,75,5.7,US,1592955046
zapolyarnyy,69.42,30.81,280.15,81,27,4.6,RU,1592955046
atikokan,48.76,-91.62,293.45,44,78,2.72,CA,1592955046
maneadero,31.72,-116.57,294.26,81,33,1.34,MX,1592955046
susanville,40.42,-120.65,310.15,13,1,2.6,US,1592954952
hamada,34.88,132.08,299.15,65,100,3.6,JP,1592955046
obo,5.4,26.49,292.92,90,62,1.35,CF,1592955046
le port,-20.94,55.29,294.15,68,7,3.1,RE,1592954918
ishinomaki,38.42,141.3,291.15,93,75,3.1,JP,1592955047
culfa,38.96,45.63,298.15,31,40,4.1,AZ,1592955047
russkaya polyana,49.42,31.92,291.78,85,39,0.93,UA,1592955047
antofagasta,-23.65,-70.4,288.15,77,90,6.2,CL,1592954934
puerto ayacucho,5.66,-67.62,303.15,62,40,3.1,VE,1592955047
carutapera,-1.2,-46.02,297.51,92,79,2.64,BR,1592955047
petropavlovka,50.61,105.32,290.23,63,88,0.8,RU,1592955047
cidreira,-30.18,-50.21,292.97,73,33,3.89,BR,1592954895
hoquiam,46.98,-123.89,294.15,68,1,5.1,US,1592954883
sitka,57.05,-135.33,286.15,76,75,3.6,US,1592954867
dobrokoz,46.42,18.24,287.37,74,0,3.32,HU,1592955048
sindi,20.8,78.87,298.15,100,40,1.53,IN,1592955048
ketchikan,55.34,-131.65,287.15,71,75,4.1,US,1592955048
mikun,62.35,50.08,278.35,68,99,3.47,RU,1592955048
olafsvik,64.89,-23.71,283.9,73,100,4.79,IS,1592954955
porto velho,-8.76,-63.9,299.15,74,20,0.67,BR,1592955048
west wendover,40.74,-114.07,306.15,14,1,5.7,US,1592955049
galeana,24.83,-100.07,298.09,45,11,4.91,MX,1592955049
fort nelson,58.81,-122.7,297.15,27,75,5.7,CA,1592955049
wausau,44.96,-89.63,293.15,52,75,5.7,US,1592954812
lalmohan,22.34,90.74,301.68,85,86,3.83,BD,1592955049
port macquarie,-31.43,152.92,287.04,65,0,0.45,AU,1592954904
alice springs,-23.7,133.88,278.15,65,0,1.0,AU,1592954857
alexandria,31.22,29.96,296.15,83,0,3.1,EG,1592954912
kloulklubed,7.04,134.26,300.15,94,75,2.67,PW,1592955049
quatre cocos,-20.21,57.76,295.15,83,20,2.6,MU,1592954897
bela,25.93,81.98,302.73,73,26,3.81,IN,1592955050
benin,9.5,2.25,297.06,78,7,2.13,BJ,1592955050
tulle,45.33,1.83,293.15,79,0,0.89,FR,1592955050
ayan,56.45,138.17,280.75,91,99,1.84,RU,1592955050
faanui,-16.48,-151.75,299.16,81,100,7.54,PF,1592954877
solnechnyy,50.72,136.63,287.66,66,97,3.33,RU,1592955050
saint-augustin,51.23,-58.65,291.79,84,100,5.51,CA,1592954876
baykit,61.67,96.37,292.37,64,68,0.7,RU,1592954894
sisimiut,66.94,-53.67,278.97,68,31,3.12,GL,1592954895
sayansk,54.11,102.16,290.51,83,19,2.33,RU,1592955051
la ronge,55.1,-105.28,300.15,34,75,3.6,CA,1592954895
russell,32.35,-85.2,304.15,58,20,2.69,US,1592955051
brae,60.4,-1.35,286.15,93,90,4.1,GB,1592954946
samarai,-10.62,150.67,299.76,86,74,6.96,PG,1592954938
warangal,18.0,79.58,299.12,81,56,1.07,IN,1592955051
sri aman,1.24,111.46,297.15,100,95,0.51,MY,1592955051
coihaique,-45.58,-72.07,274.15,86,53,3.6,CL,1592954887
acarau,-2.89,-40.12,298.17,71,54,6.18,BR,1592954955
arkhangelsk,64.54,40.54,274.15,100,30,1.0,RU,1592955052
bloomfield,40.81,-74.19,302.59,62,1,3.6,US,1592955008
skibbereen,51.55,-9.27,286.15,100,75,3.6,IE,1592955052
benxi,41.29,123.77,291.15,100,90,3.0,CN,1592955052
general pico,-35.66,-63.76,282.41,57,100,2.77,AR,1592955053
dickinson,29.46,-95.05,300.93,74,90,5.1,US,1592954962
karatau,43.17,70.47,291.79,30,46,1.91,KZ,1592955053
san francisco,37.77,-122.42,294.26,60,20,8.2,US,1592954926
ulaanbaatar,47.91,106.88,283.15,87,75,1.0,MN,1592955053
metro,-5.11,105.31,296.77,89,92,1.16,ID,1592955053
hudiksvall,61.73,17.1,289.05,67,46,1.33,SE,1592955053
gweru,-19.45,29.82,279.86,85,0,3.28,ZW,1592955054
hasilpur,29.71,72.56,308.46,29,0,4.95,PK,1592955054
lasa,46.62,10.7,288.15,72,5,2.6,IT,1592955054
yurga,55.72,84.89,289.5,89,98,1.42,RU,1592955054
portobelo,9.55,-79.65,298.15,88,100,2.24,PA,1592955054
kalmunai,7.42,81.82,300.62,77,100,1.46,LK,1592955054
winnemucca,40.97,-117.74,309.15,8,1,2.03,US,1592955054
shenjiamen,29.96,122.3,297.86,93,100,1.85,CN,1592955054
basco,20.45,121.97,302.45,79,100,5.76,PH,1592954908
bairiki,1.33,172.98,302.15,79,40,3.6,KI,1592955055
korla,41.76,86.15,298.89,19,100,5.03,CN,1592954956
aloleng,16.13,119.78,302.14,74,99,2.3,PH,1592955055
catuday,16.29,119.81,301.18,80,98,3.23,PH,1592955055
linxi,39.7,118.43,296.11,64,81,3.02,CN,1592955055
whitehorse,60.72,-135.05,290.15,25,40,6.2,CA,1592955055
waddan,29.16,16.14,295.37,56,0,5.9,LY,1592955056
nelson bay,-32.72,152.15,287.04,62,20,11.3,AU,1592955056
nova olinda do norte,-3.89,-59.09,297.36,92,59,0.9,BR,1592955056
fryanovo,56.13,38.45,291.48,62,0,3.0,RU,1592955056
sosnogorsk,63.6,53.88,277.72,87,92,3.9,RU,1592955056
licata,37.11,13.95,293.71,64,0,1.5,IT,1592955056
coruripe,-10.13,-36.18,296.26,82,2,4.21,BR,1592954919
maniitsoq,65.42,-52.9,277.8,81,94,3.47,GL,1592955056
imbituba,-28.24,-48.67,295.15,73,0,6.2,BR,1592955039
codajas,-3.84,-62.06,296.92,95,53,1.1,BR,1592955057
lilongwe,-13.97,33.79,287.24,79,5,1.82,MW,1592955057
nassau,40.75,-73.58,299.15,69,1,6.2,US,1592955037
banes,20.96,-75.72,303.15,74,40,5.1,CU,1592955057
horasan,40.05,42.17,285.29,67,0,0.93,TR,1592955057
lima,-12.04,-77.03,290.15,82,90,3.6,PE,1592955007
yelkhovka,53.87,50.28,286.15,87,40,3.0,RU,1592955058
sur,22.57,59.53,299.88,85,1,3.76,OM,1592955058
lerwick,60.15,-1.15,286.15,93,94,3.6,GB,1592954885
egvekinot,66.32,-179.17,275.82,91,99,2.21,RU,1592954898
